Question,Answer
What insurance documentation must LACGC provide before occupying the PROPERTIES under the AGREEMENT?,LACGC must furnish CITY with evidence of insurance from firms reasonably acceptable to CITY and approved to do such business in the State of California.
Who should LACGC name as an additional insured for all required coverages?,"LACGC or any third party providing work or services under the AGREEMENT should name the City of Los Angeles and its boards, officers, agencies, and employees as an additional insured for all required coverages."
Who is responsible for maintaining all insurance at their sole cost and expense throughout the TERM of the AGREEMENT?,LACGC is responsible for maintaining all such insurance at its sole cost and expense throughout the TERM of the AGREEMENT.
What should LACGC do if any of the required insurance contains aggregate limits or applies to other operations outside of the AGREEMENT?,"LACGC should give CITY written notice of any incident, occurrence, claim, settlement, or judgment against such insurance within thirty (30) calendar days of knowledge. LACGC should further restore such aggregate limits or provide other replacement insurance within sixty (60) calendar days of knowledge."
: What is the consequence of LACGC's failure to procure and maintain the required insurance?,"LACGC's failure to procure and maintain the required insurance shall constitute a material breach of the AGREEMENT under which CITY may immediately terminate the AGREEMENT or, at its discretion, pay to procure or renew such insurance to protect CITY’s interest; in which case LACGC agrees to reimburse CITY for all money so paid."
 What is required for self-insurance programs and self-insured retention in insurance policies?,"Self-insurance programs and self-insured retention in insurance policies are subject to separate approval by CITY upon review of evidence of LACGC’s financial capacity. Additionally, such programs or retention must provide CITY with an equivalent protection from liability."
What taxes is LACGC responsible for under the agreement?,"LACGC is responsible for paying all taxes levied on the rights to use the properties, as well as taxes on improvements, fixtures, equipment, or other property on the premises."
How are taxes on LACGC's operations addressed in the agreement?,Taxes on LACGC's operations are addressed by specifying that LACGC shall pay all taxes related to its use of the properties and any improvements or operations conducted thereunder.
What are the required documents needed to provide to RAP,Exhibit A: List of Properties used by Los Angeles Community Garden Council and a Site Map for each Property Exhibit B: Sample Performance Evaluation Form Exhibit C: Sample Garden Rules for a Community Garden Exhibit D: Insurance Requirements Exhibit E: Standard Provisions for City Contracts (Rev. 3/09)
What is the code of conduct for gardners,"Gardeners may access the garden from sunrise to sundown daily, yearround. Gardeners are responsible for locking the gate behind them. Keys and combinations are strictly for personal use and must not be shared with others. days of the plot being assigned. 1. 2. Gardeners must plant their plot within They must garden year-round. If gardeners are unable to tend the plot due to illness or traveling, they must arrange for someone else to tend the plot and notify the Garden Leadership Team. 3. Gardeners must keep their plot, paths, and surrounding areas around their plot clean and free of trash, weeds, and debris. They must keep the plot free of weeds, pests, and diseases. Because of the communal nature of a community garden, this is necessary to control against invasions of the whole garden. 4. Plot boundaries are clearly defined and plants must remain with the boundaries of each plot. Gardeners may not plant trees in their plots or any plants higher than 5. feet. Gardeners must not apply any pesticides, insecticides or herbicides in the garden without approval from the Garden Leadership team. Organic gardening promotes the health of our produce, soil, and fellow gardeners. 6. Gardeners are responsible for taking any trash or recyclables that they generate with them out of the garden. ~ Tools must be returned to their proper location after use to keep the garden and toolsheds in a neat condition. Gardeners are responsible for locking the toolsheds. If a tool is missing, damaged or broken, inform a member of the Garden Leadership Team immediately. Gardeners may be held responsible for damaged or broken items or equipment and they may not be replaced if missing or broken. Please conserve water and use a trigger-operated nozzle on the hose 7. 8. as required by California law. Notify the Garden Leadership Team of any leaks. Maintain your raised bed to conserve water. Agreement No.____ 9. All water hoses are to be left coiled near the water spigots. 10. Gardeners may be required to contribute some time each month to maintain the communal areas of the garden."
Why start a community garden?,"Many families living in the city would like to grow some of their own fruits, vegetables, herbs, and flowers. Some want to save money on their food bills. Others like the freshness, flavor and wholesomeness of home-grown produce. And for many, gardening is a relaxing way to exercise and enjoy being out-of-doors. There are also families from other cultures who would like to grow traditional foods not available in the supermarket. Community gardens beautify neighborhoods and help bring neighbors closer together. They have been proven as tools to reduce neighborhood crime--particularly when vacant, blighted lots are targeted for garden development. Community gardens provide safe, recreational green space in urban areas with little or no park land, and can contribute greatly to keeping urban air clean. Those who are lucky enough to have sunny backyards or balconies can plant a garden whenever they have the time and energy. But what about those who do not have a place to garden? For these people, community gardens may be the answer."
What makes a good potential spot for a garden,"A garden site should be relatively flat (although slight slopes can be terraced). It should be relatively free of large pieces of concrete left behind from demolition of structures. Any rubble or debris should be manageable--that is, it can be removed by volunteers clearing the lot with trash bags, wheelbarrows, and pick up trucks. Ideally, it should have a fence around it with a gate wide enough for a vehicle to enter. It is possible to work with a site that is paved with concrete or asphalt by building raised beds that sit on the surface or using containers. You can also remove the asphalt or concrete to create areas for gardens, but such a garden will be much more difficult, expensive, and time-consuming to start. A site without paving, and soil relatively free of trash and debris is best. The potential garden site should be within walking, or no more than a short drive from you and the neighbors who have expressed interest in participating. If the lot is not already being used, make sure the community supports establishing a garden there. It's best to select three potential sites in your neighborhood and write down their address and nearest cross streets. If you don't know the address of a vacant lot, get the addresses of the properties on both sides of the lot--this will give you the ability to make an educated guess on the address of the site. We suggest you identify at least three potential sites because one or more might not be available for you to use for various reasons, and you want to end up with at least one that works out."
What if I don’t own the land?,"Once you have determined that your potential site is feasible, write a letter to the landowner asking for permission to use the
property for a community garden. Be sure to mention to the landowner the The Urban Agriculture Incentive Zones (UAIZ) Program. This program provides vacant property owners a tax reduction to use their land for community gardens or urban farms. This unique program brings together property owners and food growers to make Los Angeles communities healthier and more sustainable. A property owner can either lease their land to community members looking to grow food or grow on their own to receive the tax break. We want to make sure Angelenos take advantage of this opportunity! It’s a win-win for property owners, growers, and communities"
How do I avoid lawsuits and liabilities regaurding injuries? ,"
Landowners of potential garden sites might be concerned about their liability should someone be injured while working in the garden. Your group should be prepared to offer the landowner a lease with a ""hold harmless"" waiver. This ""hold harmless"" waiver can simply state that should one of the gardeners be injured as a result of negligence on the part of another gardener, the landowner is ""held harmless"" and will not be sued. Each gardener should be made aware of this waiver and should be required to sign an 3 agreement in order to obtain a plot in the community garden. A sample gardener agreement form is attached which your group can use as a model."
What are the basic elements of a community garden? ,"At least 15 plots assigned to community members. These should be placed in the sunniest part of the garden. Without plots for individual participation, it is very difficult to achieve long-term community involvement. Raised bed plots, which are more expensive, should be no more than 4 feet wide (to facilitate access to plants from the sides without stepping into the bed), and between 8 and 12 feet long (it is advisable to construct your raised beds in sizes that are found in readily-available lumber, or that can be cut without too much waste). In-ground plots can be from 10 x 10 up to 20 x 20 feet. Pathways between beds and plots should be least 3 to 4 feet wide to allow space for wheelbarrows. The soil in both raised bed and in-ground plots should be amended with aged compost or manure to improve its fertility and increase its organic matter content. • A simple irrigation system with one hose bib or faucet for every four plots. Hand watering with a hose is the most practical and affordable for individual plots (and it's almost a necessity when you start plants from seed). Drip and soaker-hose irrigation can be used in all areas of the garden for transplanted and established plants, but especially for deep-rooted fruit trees and ornamentals. If no one in your group is knowledgeable about irrigation, you might need some assistance in designing your irrigation system. Seek out a landscape contractor or nursery or garden center professional to help you develop a basic layout and materials list. • An 8-foot fence around the perimeter with a drive-through gate. In our experience, this is a key element of success. Don't count on eliminating all acts of vandalism or theft, but fencing will help to keep these to tolerably low levels. • A tool shed or other structure for storing tools, supplies, and materials. Recycled metal shipping containers make excellent storage sheds, and are almost vandal-proof. Contact the Port Authority for leads on where to find them. • A bench or picnic table where gardeners can sit, relax, and take a break--preferably in shade. If there are no shade trees on the site, a simple arbor can be constructed from wood or pipe, and planted with chayote squash, bougainvillea, grapes, kiwis, or some other vine. • A sign with the garden's name, sponsors, and a contact person's phone number for more information. If your community is bilingual, include information in this language. • A shared composting area for the community gardeners. Wood pallets are easy to come-by and (when stood on-end, attached in a U-shape, and the inside covered with galvanized rabbit-wire) make excellent compost bins."
what are some nice additions I can make to my garden,"A small fruit tree orchard, whose care and harvest can be shared by all the members. The orchard can also create shade for people as well as shade-loving plants. • A water fountain. This can be a simple drinking fountain attachment to a hose bib (or faucet) you can purchase at a hardware store. • Perimeter landscaping, which can focus on drought tolerant flowers and shrubs, plants which attract butterflies and hummingbirds, or roses and other flowers suitable for cutting bouquets. Herbs are also well-suited to perimeter landscaping and help to create barriers to unwanted pest insects who do not like the smell of their essential oils. • A children's area, which can include special small plots for children, a sand box, and play equipment. • A meeting area, which could range from a semi-circle of hay bales or tree stumps, to a simple amphitheater built of recycled, broken concrete. Building a shade structure above would be beneficial as well. 4 • A community bulletin board where rules, meeting notices, and other important information can be posted"
How do I create a garden budget?,"Use your design to develop a materials list and cost-out the project. You will need to call-around to get prices on fencing and other items. You might be surprised at the cost. A community garden with just the Basic Elements (listed above) typically costs between $2,500 to $5,000. At this point, your group might decide to scale back your initial plans and save some design ideas for a ""Phase Two"" of the garden."
how do I get materials and money,"While some start-up funds will be needed through determination and hard work, you can obtain donations of materials for your project. Community businesses might assist, and provide anything from fencing to lumber to plants. The important thing is to ask. Develop a letter that tells merchants about your project and why it's important to the community. Attach your ""wish list"", but be reasonable. Try to personalize this letter for each business you approach. Drop it off personally with the store manager, preferably with a couple of cute kids who will be gardening in tow! Then, follow-up by phone. Be patient, persistent, and polite. Your efforts will pay-off with at least some of the businesses you approach. Be sure to thank these key supporters and recognize them on your garden sign, at a garden grand opening, or other special event. Money, which will be needed to purchase items not donated, can be obtained through community fund-raisers such as car washes, craft and rummage sales, pancake breakfasts, and bake sales. They can also be obtained by writing grants, but be aware grant writing efforts can take six months or longer to yield results, and you must have a fiscal sponsor or agent with tax-exempt 501(c)3 status (such as a church or non-profit corporation) that agrees to administer the funds."
how do I handle issues like vandalism,"Most gardens experience occasional vandalism. The best action you can take is to replant immediately. Generally the vandals become bored after a while and stop. Good community outreach, especially to youth and the garden's immediately neighbors is also important. Most important--don't get to discouraged. It happens. Get over it and keep going. What about barbed wired or razor wire to make the garden more secure? Our advice--don't. It's bad for community relations, looks awful, and is sometimes illegal to install without a permit. If you need more physic"
how do I handle gardner droping out and lack of participation?,"There has been, and probably always will be, a high rate of turnover in community gardens. Often, people sign up for plots and then don't follow through. Remember, gardening is hard work for some people, especially in the heat of summer. Be sure to have a clause in your gardener agreement which states gardeners forfeit their right to their plot if they don't plant it within one month, or if they don't maintain it. While gardeners should be given every opportunity to follow through, if after several reminders either by letter or phone nothing changes, it is time for the club to reassign the plot. It is also advisable that every year, the leadership conduct a renewed community outreach campaign by contacting churches and other groups in the neighborhood to let them know about the garden and that plots are available."
craft a sample community garden contract,"Introduction A. The (organization/garden manager) is the highest governing authority at the (Name) Community Garden. B. Breaking any rules, terms, and conditions is cause for exclusion from the garden and loss of your plot. 1. You will receive one verbal warning from the garden manager. 2. If no response or correction has been made, you will receive written notice two weeks later. 3. In another two weeks, if no response or correction has been made, you will receive written final notification that you have forfeited your gardening privileges and plot. 4. You will be allowed to reapply for another garden plot only after one year, and only at the discretion of the garden manager. Rules, Terms, and Condition for Participation If accepted as a gardener, I will abide by the following rules, terms, and conditions. 1. I use this garden at the sole discretion of (Watts Family) Community Garden. I agree to abide by its policies and practices. 2. The fee for the use of the garden is ($32.00) per plot, per year (January 1 – December 31), due on or before January 1). Fee for half a year after (beginning July 1 or later) is ($16.00). There are no refunds. 3. Once I have been assigned a plot, I will cultivate and plant it within two weeks. I will garden year round. My plot cannot be left fallow or unused for any period of three weeks or longer, more than one time a year. 4. My plot is (20 x 20) feet. I will not expand my plot beyond this measurement or into paths or other plots. I will keep all my plants within the limits of my garden plot and will not allow any plants to grow more than six feet high. I must keep my plot free of weeds, pests and diseases. 5. I will keep my plot, paths, and surrounding areas clean and neat. I will completely separate my trash into three groups: 1) dead plants, leaves, and other green waste plant parts; 2) rocks, stones, and asphalt; and 3) paper, plastic, cardboard, wood, metal, etc. I will put each type of trash only in the areas designated specifically for each. Anything I bring from my home I will take back home. I will not bring household trash and leave it at the (Watts Family) Community Garden. 6. If I now have more than one plot, I will give up my additional plots by the end of this gardening year (December 31). 7. I will not plant any illegal plant. I will not smoke, drink alcoholic beverages, use illegal drugs, or gamble in the garden. I will not come to the garden while under the influence of alcohol or illegal drugs. I will not bring weapons or pets or other animals to the garden. 8. Guests and visitors, including children, may enter the garden only if I accompany them. They must follow all rules, terms, and conditions stated here. I will supervise my children at all times when they are in the garden. I am solely responsible for the behavior of my guests. 9. The garden manager will assign me general garden maintenance tasks each month, and I must complete them by the end of the month that I am assigned them 10. I will water my plot according to water-wise guidelines. (If I use more than the recommended amount of water, I will pay a fee each month to cover the cost of this additional water. 11. I will attend the regular (bi-monthly) garden club meetings. If workshops are offered, I will attend at least one of each of the following topics: soil preparation and maintenance, watering the vegetable garden, and pest and disease control. 12. I will not apply any pesticides in the garden without the approval of the garden manager. 13. I will not make duplicate keys of any locks at the garden or give my key or lock combination to another person. 14. I will not take food or plants from other gardeners’ plots. I will not take anything from the garden that is not rightfully mine. 15. I will respect other gardeners, and I will not use abusive or profane language or discriminate against others. 16. I will work to keep the garden a happy, secure, and enjoyable place where all participants can garden and socialize peacefully in a neighborly manner. 17. I forfeit my right to sue the owner of the property"
what are designated roles of a community garden,"1. Garden Coordinator ● Organizes garden meetings with the support of other Coordinators ● Observes plot activity and ensures members are following garden agreements. ● Opens a dialogue with members who fail to comply with garden agreements. Can issue verbal or written warnings to members who do not comply. ● Communicates with the Plot Coordinator and the rest of the garden team when a plot becomes available. 2. Plot Coordinator ● Coordinates plot assignment with Finance Coordinator. ● Go over paperwork with new gardeners, collect, organize all required documents. ● Maintains map of garden and membership documentation. ● Helps with day to day operations of the garden - mostly member plot oriented. ● Maintains the wait list, shares list with all coordinators. 3. Garden Finance Coordinator ● Collects and records all garden revenue and expenditures. ● Establishes and maintains an acceptable accounting method. ● Issues receipts for all collected garden dues and donations. ● Delivers monies to Los Angeles Community Garden Council and Requests checks from Los Angeles Community Garden Council as needed. ● Manages Petty cash for garden needs. 4. Communications Coordinator ● Writes and distributes the minutes of each garden meeting to coordinators. ● Maintains garden bulletin/message board with flyers, updates and garden agreements. ● Contacts all members of meetings and gatherings. ● Maintains sign-in sheets during meetings. ● Can also manage Social Media Accounts/Garden Email 5. Garden Caretaker ● Responsible for the maintenance and coordination of any communal space in the garden. ● Ensures that each plot holder completes their membership hours. ● Helps maintain tool shed and record of tools. ● Maintains cleanliness of gardens main, side and back entrance. Responsible for garden combo lock (repairs or replacement). 6. Volunteer Coordinator ● Helps maintain and builds community relations. ● Responsible for outreach to immediate community, schools, & community organizations. ● In charge of monthly volunteer days (Maintains Sign-in sheet and volunteer forms) ● Works closely with the Garden Caretaker to maintain the tool shed. 7. Compost Manager ● Responsible for gardens compost bins. ● Hosts compost workshops for members and community members. ● Responsible for distributing compost to gardeners. ● Holds food waste drop off hours for garden members and community members. ● Records and maintains data on food waste donated/collected to the Los Angeles Community Garden Council & LA Compost."
what is the California Homegrown food act,"The Act will  ensure the rights of individuals and groups to cultivate and, in certain cases, sell edible plants. The Act will remove a handful of barriers arising from local zoning laws, private land covenants, and lease restrictions. This act permits community gardens to take place in resedential zones, commercial zones, and industrial zones"
How do I avoid weeds?,a reaised garden bed is an optimal way to avoid weeds.  These can also be built on concrete and sloping land
what if I only have a small space for my garden,"Vertical gardens can help compensate for small areas.  Hanging bots, trellises, and window boxes are a great strategy to combat small spaces"
How can I obtain a permit to start a community garden in my neighborhood?,"To obtain a permit to start a community garden in Los Angeles, California, you will need to contact the Los Angeles Department of Recreation and Parks. They oversee all park and recreation facilities in the city, including community gardens. You can apply for a permit by filling out an application form and submitting it to the department for review. The application will require information such as the proposed location of the garden, number of participants, purpose of the garden, and maintenance plan. Once your application is approved and a permit is issued, you can begin planning and developing your community garden."
Are there any size limitations or restrictions for community gardens in Los Angeles?,"Yes, there are size limitations and restrictions for community gardens in Los Angeles. According to the Los Angeles Department of Recreation and Parks, community gardens cannot exceed 10,000 square feet in size and must adhere to certain rules and regulations regarding gardening practices, safety, and aesthetics. Additionally, community gardens must follow zoning laws and obtain proper permits before being established."
What types of plants and gardening practices are allowed in community gardens in LA?,"In general, community gardens in Los Angeles allow for a variety of plants and gardening practices as long as they adhere to the guidelines set by the garden management. These may include organic gardening, using sustainable growing methods, and planting native or drought-resistant plants. However, specific rules and regulations for each community garden may vary. It’s important to check with the garden management before making any changes or additions to your plot."
Is it necessary to have membership qualifications for participants in a Los Angeles community garden?,"Yes, it is necessary for participants in a Los Angeles community garden to have membership qualifications. These qualifications may vary depending on the specific community garden, but typically they involve things like residency requirements, fees, and volunteer commitments. This ensures that the community garden is maintained and used responsibly by committed members of the local community."
How can we ensure accessibility and inclusivity for all members of our Los Angeles community garden?,"One way to ensure accessibility and inclusivity for all members of our Los Angeles community garden is by creating a diverse and welcoming environment. This can be achieved by actively involving and listening to the needs and suggestions of different individuals, especially those who may face physical or social barriers.

Additionally, providing physical accommodations and resources such as wheelchair ramps, raised garden beds, and tools designed for people with disabilities can help make the space more accessible. It is also important to consider providing informational materials in multiple languages and having interpreters available for those who do not speak English.

Another key aspect is fostering a sense of community and promoting inclusivity through various events and activities that bring members together. This can include cultural celebrations, educational workshops on gardening techniques or sustainability practices, or even potluck meals where everyone can share their unique dishes.

Finally, it is essential to address any discrimination or exclusion within the community garden promptly and take active steps towards creating a safe and inclusive space for all members. This may involve implementing anti-discrimination policies or organizing diversity training sessions for members.

By prioritizing inclusivity and actively working towards creating an accessible space, we can ensure that all members of our Los Angeles community garden feel welcome, valued, and able to fully participate in the community."
"n cases of drought or water restrictions, what are the guidelines for watering and irrigation systems at LA community gardens?","In cases of drought or water restrictions in Los Angeles, California, the guidelines for watering and irrigation systems at community gardens include limiting watering to designated days and times, using efficient irrigation methods such as drip or micro-spray systems, avoiding runoff and overspray, and utilizing drought-resistant plants. Community gardeners are also encouraged to collect and reuse rainwater and limit non-essential water use for activities such as washing cars or filling swimming pools."
What resources are available through the city ,"There are a variety of resources available through the city of Los Angeles to support maintenance and sustainability efforts at community gardens. These include access to tools, training workshops, funding opportunities, composting services, and technical assistance. The city also has a network of neighborhood councils and community-based organizations that can provide additional support and resources for community gardens. Additionally, there are various programs and initiatives aimed at promoting sustainable gardening practices, such as the Sustainable Landscape Program and the Green Gardens Program."
"Can we incorporate art, education, or other cultural programs into our Los Angeles community garden?","Yes, there are many organizations and initiatives in Los Angeles that aim to incorporate art, education, and other cultural programs into community gardens. For example, the Los Angeles Community Garden Council offers workshops and events on topics such as gardening techniques, environmental sustainability, and nutrition education. Additionally, the City of Los Angeles Department of Cultural Affairs has a program called “Garden of Cultural Delights” which partners with community gardens to showcase art installations and cultural programming. Similarly, the LA Commons organization works with community gardens to facilitate public art projects that reflect the unique cultures and histories of their neighborhoods."
